Railway: Thameslink Core; Timetable: Thameslink Core Monday 29.06.2026;  Start time: 04:00

Departs from Farringdon,06:04,06:34,07:04,07:34,08:04,08:34,09:04,09:34,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:34,15:04,15:34,16:04,16:34,17:04,17:34,18:04,18:34,19:04,19:34
Arrives at City Thameslink,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35
Departs from City Thameslink,06:06,06:36,07:06,07:36,08:06,08:36,09:06,09:36,10:06,10:36,11:06,11:36,12:06,12:36,13:06,13:36,14:06,14:36,15:06,15:36,16:06,16:36,17:06,17:36,18:06,18:36,19:06,19:36
Arrives at Blackfriars,06:08,06:38,07:08,07:38,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38
Departs from Blackfriars,06:09,06:39,07:09,07:39,08:09,08:39,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:39,19:09,19:39
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,06:11,06:41,07:11,07:41,08:11,08:41,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11,17:41,18:11,18:41,19:11,19:41


Cambridge - Brighton [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9S57,9S61,9S65,9S69

Enters at T/F Finsbury Park,19:56,20:56,21:56,22:56
Arrives at St. Pancras,19:59,20:59,21:59,22:59
Departs from St. Pancras,20:00,21:00,22:00,23:00
Passes Kings Cross TL (Closed),20:01,21:01,22:01,23:01
Arrives at Farringdon,20:03,21:03,22:03,23:03
Departs from Farringdon,20:04,21:04,22:04,23:04
Arrives at City Thameslink,20:05,21:05,22:05,23:05
Departs from City Thameslink,20:06,21:06,22:06,23:06
Arrives at Blackfriars,20:08,21:08,22:08,23:08
Departs from Blackfriars,20:09,21:09,22:09,23:09
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,20:11,21:11,22:11,23:11


Brighton - Cambridge [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9S00,9S02,9S04,9S06,9S08,9S10,9S12,9S14,9S16,9S18,9S20,9S22,9S24,9S26,9S28,9S30,9S32,9S34,9S36,9S38,9S40,9S42,9S44,9S46,9S48,9S50,9S52,9S54

Enters at T/F London Bridge,06:17,06:47,07:17,07:47,08:17,08:47,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:17,14:47,15:17,15:47,16:17,16:47,17:17,17:47,18:17,18:47,19:17,19:47
Arrives at Blackfriars,06:21,06:51,07:21,07:51,08:21,08:51,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:51
